,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56,0 days 00:56:57.160000,27.0,49.0,1017.2,False,32.1,117,2.0
58,0 days 00:58:57.178000,27.0,49.0,1017.2,False,32.2,111,1.3
60,0 days 01:00:57.180000,27.0,49.0,1017.2,False,31.8,112,1.4
62,0 days 01:02:57.167000,26.9,50.0,1017.2,False,31.9,0,1.4
63,0 days 01:03:57.181000,26.9,50.0,1017.3,False,31.7,112,0.8
65,0 days 01:05:57.187000,26.9,50.0,1017.4,False,31.8,277,1.7
66,0 days 01:06:57.187000,26.8,50.0,1017.3,False,31.8,0,0.9
68,0 days 01:08:57.182000,26.9,51.0,1017.4,False,31.5,277,1.8
69,0 days 01:09:57.189000,26.8,51.0,1017.4,False,31.6,96,1.4
71,0 days 01:11:57.189000,26.9,51.0,1017.4,False,31.7,113,1.4
72,0 days 01:12:57.180000,26.9,51.0,1017.4,False,31.2,126,2.0
74,0 days 01:14:57.188000,26.8,52.0,1017.4,False,31.6,278,1.7
75,0 days 01:15:57.191000,26.8,52.0,1017.4,False,31.6,112,1.5
77,0 days 01:17:57.267000,26.8,51.0,1017.5,False,31.3,129,1.8
78,0 days 01:18:57.273000,26.8,52.0,1017.4,False,31.3,110,1.6
80,0 days 01:20:57.290000,26.7,52.0,1017.4,False,31.3,112,2.2
81,0 days 01:21:57.304000,26.7,52.0,1017.5,False,31.2,276,1.8
83,0 days 01:23:57.319000,26.7,52.0,1017.4,False,31.3,129,1.0
84,0 days 01:24:57.323000,26.7,52.0,1017.4,False,31.3,173,1.6
86,0 days 01:26:57.319000,26.7,52.0,1017.5,False,31.3,226,1.3
87,0 days 01:27:57.326000,26.6,53.0,1017.5,False,31.2,0,1.5
89,0 days 01:29:57.323000,26.6,53.0,1017.5,False,31.0,108,2.2
90,0 days 01:30:57.327000,26.5,53.0,1017.5,False,31.0,111,1.4
92,0 days 01:32:57.327000,26.5,53.0,1017.6,False,31.1,104,1.8
93,0 days 01:33:57.329000,26.5,54.0,1017.6,False,30.9,44,0.8
95,0 days 01:35:57.335000,26.5,54.0,1017.5,False,30.9,110,1.3
96,0 days 01:36:57.329000,26.5,54.0,1017.6,False,30.8,111,1.8
98,0 days 01:38:57.327000,26.4,55.0,1017.7,False,30.7,112,1.2
99,0 days 01:39:57.334000,26.4,55.0,1017.6,False,30.8,102,1.4
101,0 days 01:41:57.338000,26.4,56.0,1017.7,False,30.8,110,2.8
103,0 days 01:43:57.333000,26.4,56.0,1017.7,False,30.5,103,1.8
104,0 days 01:44:57.330000,26.4,56.0,1017.6,False,30.5,111,2.6
105,0 days 01:45:57.335000,26.3,57.0,1017.6,False,30.5,105,3.0
107,0 days 01:47:57.335000,26.3,57.0,1017.7,False,30.4,145,1.2
108,0 days 01:48:57.340000,26.3,57.0,1017.6,False,30.3,74,2.5
110,0 days 01:50:57.344000,26.3,57.0,1017.8,False,30.3,132,1.7
111,0 days 01:51:57.344000,26.3,58.0,1017.7,False,30.3,112,2.0
113,0 days 01:53:57.337000,26.2,58.0,1017.7,False,30.4,98,1.7
114,0 days 01:54:57.361000,26.2,58.0,1017.7,False,30.1,114,1.1
116,0 days 01:56:57.361000,26.1,58.0,1017.8,False,30.2,107,2.3
117,0 days 01:57:57.359000,26.1,58.0,1017.8,False,30.1,65,1.9
119,0 days 01:59:57.386000,26.1,58.0,1017.7,False,30.0,117,1.9
120,0 days 02:00:57.390000,26.1,58.0,1017.6,False,30.1,113,2.1
122,0 days 02:02:57.392000,26.1,58.0,1017.8,False,30.1,116,1.5
123,0 days 02:03:57.408000,26.1,58.0,1017.8,False,30.0,111,2.4
125,0 days 02:05:57.430000,26.0,58.0,1017.8,False,29.8,113,3.0
126,0 days 02:06:57.443000,26.0,59.0,1017.8,False,29.7,111,2.2
128,0 days 02:08:57.445000,26.0,59.0,1017.9,False,29.7,0,2.5
129,0 days 02:09:57.450000,26.0,59.0,1017.8,False,29.6,111,1.7
131,0 days 02:11:57.462000,26.0,59.0,1017.9,False,29.6,109,2.1
132,0 days 02:12:57.462000,26.0,59.0,1017.9,False,29.4,142,2.0
133,0 days 02:13:57.487000,25.9,59.0,1017.9,False,29.4,109,2.8
135,0 days 02:15:57.484000,25.9,59.0,1018.0,False,29.4,113,2.7
136,0 days 02:16:57.495000,25.9,60.0,1017.8,False,29.4,116,2.9
138,0 days 02:18:57.481000,25.9,60.0,1017.9,False,29.3,117,3.2
139,0 days 02:19:57.482000,25.9,60.0,1018.0,False,29.4,106,2.4
141,0 days 02:21:57.491000,25.9,60.0,1018.0,False,29.4,104,2.4
142,0 days 02:22:57.487000,25.9,60.0,1018.0,False,29.3,111,1.9
56,0 days 00:56:57.160000,27.0,49.0,1017.2,False,32.1,117,2.0
58,0 days 00:58:57.178000,27.0,49.0,1017.2,False,32.2,111,1.3
60,0 days 01:00:57.180000,27.0,49.0,1017.2,False,31.8,112,1.4
