,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
57,0 days 00:57:40.359000,18.7,63.0,1020.0,False,29.1,208,3.2
59,0 days 00:59:40.362000,18.6,62.0,1019.9,False,28.5,221,3.7
60,0 days 01:00:40.372000,18.6,63.0,1020.0,False,28.5,210,3.7
61,0 days 01:01:40.368000,18.6,62.0,1019.9,False,29.7,224,4.2
63,0 days 01:03:40.412000,19.0,62.0,1019.9,False,30.4,205,3.9
64,0 days 01:04:40.410000,19.0,60.0,1020.0,False,30.9,211,5.8
65,0 days 01:05:40.401000,19.2,59.0,1019.9,False,30.5,205,4.4
66,0 days 01:06:40.408000,19.3,58.0,1019.9,False,30.9,216,4.7
68,0 days 01:08:40.430000,19.3,57.0,1020.0,False,31.2,202,4.5
69,0 days 01:09:40.440000,19.3,57.0,1019.9,False,31.3,221,4.9
70,0 days 01:10:40.448000,19.3,59.0,1020.0,False,31.3,227,5.2
71,0 days 01:11:40.468000,19.2,57.0,1020.1,False,31.4,233,5.7
73,0 days 01:13:40.471000,19.1,58.0,1020.0,False,31.3,230,6.0
74,0 days 01:14:40.461000,19.1,60.0,1020.0,False,30.8,222,4.5
75,0 days 01:15:40.448000,19.1,60.0,1019.9,False,30.2,227,4.5
77,0 days 01:17:40.480000,19.0,61.0,1020.0,False,30.4,210,3.9
78,0 days 01:18:40.480000,19.0,62.0,1020.0,False,30.6,211,3.9
79,0 days 01:19:40.487000,19.0,62.0,1019.9,False,30.7,213,4.0
80,0 days 01:20:40.500000,19.0,60.0,1020.0,False,31.2,199,4.6
82,0 days 01:22:40.505000,19.2,61.0,1020.0,False,31.5,226,4.1
83,0 days 01:23:40.492000,19.1,61.0,1020.1,False,31.7,218,4.5
84,0 days 01:24:40.499000,19.3,60.0,1020.0,False,31.6,214,4.6
85,0 days 01:25:40.493000,19.4,59.0,1020.0,False,31.6,227,4.5
87,0 days 01:27:40.506000,19.4,58.0,1020.0,False,31.5,234,6.2
