,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56,0 days 00:56:26.384000,33.8,32.0,993.2,False,51.3,191,1.9
57,0 days 00:57:26.393000,33.9,31.0,993.2,False,50.5,218,1.4
59,0 days 00:59:26.375000,33.7,30.0,993.3,False,50.6,185,2.3
60,0 days 01:00:26.383000,33.7,31.0,993.2,False,50.6,201,1.9
62,0 days 01:02:26.388000,33.7,31.0,993.2,False,50.6,194,1.8
63,0 days 01:03:26.395000,33.5,31.0,993.1,False,50.2,192,2.0
64,0 days 01:04:26.396000,33.5,32.0,993.1,False,49.6,170,2.1
66,0 days 01:06:26.407000,33.3,32.0,993.1,False,49.5,200,1.0
67,0 days 01:07:26.408000,33.3,31.0,993.1,False,49.0,239,1.7
69,0 days 01:09:26.416000,33.3,31.0,993.0,False,48.6,196,1.8
70,0 days 01:10:26.425000,33.2,31.0,993.1,False,48.4,197,1.5
71,0 days 01:11:26.432000,33.2,31.0,993.2,False,47.7,232,1.6
73,0 days 01:13:26.449000,33.0,31.0,993.0,False,47.6,177,1.3
74,0 days 01:14:26.449000,33.0,31.0,993.1,False,47.5,188,2.3
76,0 days 01:16:26.443000,32.9,31.0,993.0,False,47.9,197,1.9
77,0 days 01:17:26.454000,32.8,31.0,993.0,False,47.9,197,2.0
79,0 days 01:19:26.473000,32.9,31.0,993.0,False,47.5,178,1.4
80,0 days 01:20:26.496000,32.9,31.0,993.0,False,47.2,195,1.7
82,0 days 01:22:26.501000,32.8,31.0,993.0,False,46.8,192,1.1
83,0 days 01:23:26.498000,32.8,31.0,993.0,False,46.6,200,1.6
85,0 days 01:25:26.495000,32.8,32.0,993.0,False,46.3,196,1.8
86,0 days 01:26:26.504000,32.7,31.0,992.9,False,46.2,188,1.8
87,0 days 01:27:26.519000,32.7,31.0,993.0,False,46.1,177,1.5
89,0 days 01:29:26.514000,32.6,31.0,993.0,False,45.7,198,1.6
90,0 days 01:30:26.537000,32.6,32.0,993.0,False,45.8,194,1.8
