,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:40.698000,22.3,42.0,1012.1,False,40.0,181,1.5
91,0 days 01:31:40.840000,22.6,32.0,1012.3,False,39.3,203,3.3
93,0 days 01:33:40.843000,22.5,35.0,1012.2,False,38.8,191,3.5
96,0 days 01:36:40.844000,22.5,37.0,1012.2,False,39.0,216,3.1
98,0 days 01:38:40.848000,22.5,38.0,1012.3,False,39.0,195,3.0
99,0 days 01:39:40.948000,22.5,39.0,1012.2,False,38.8,201,3.1
101,0 days 01:41:40.847000,22.3,40.0,1012.2,False,38.7,204,3.5
103,0 days 01:43:40.850000,22.3,38.0,1012.2,False,38.8,206,4.1
104,0 days 01:44:40.855000,22.2,39.0,1012.2,False,38.9,212,4.1
106,0 days 01:46:40.852000,22.2,39.0,1012.3,False,39.0,196,3.2
107,0 days 01:47:40.858000,22.1,38.0,1012.3,False,38.5,199,2.6
109,0 days 01:49:40.853000,21.9,40.0,1012.3,False,37.1,176,2.0
111,0 days 01:51:40.859000,21.6,40.0,1012.3,False,36.3,156,2.3
112,0 days 01:52:40.856000,21.6,41.0,1012.4,False,36.6,173,1.7
114,0 days 01:54:40.876000,21.6,41.0,1012.3,False,36.1,183,1.4
116,0 days 01:56:40.908000,21.5,41.0,1012.4,False,35.2,168,2.3
117,0 days 01:57:40.906000,21.3,42.0,1012.4,False,35.0,199,3.0
119,0 days 01:59:40.906000,21.1,43.0,1012.4,False,34.8,184,2.2
121,0 days 02:01:40.909000,21.2,43.0,1012.5,False,34.8,187,2.1
122,0 days 02:02:40.927000,21.2,42.0,1012.5,False,34.5,197,2.7
124,0 days 02:04:40.927000,21.1,45.0,1012.6,False,34.3,201,3.3
126,0 days 02:06:40.929000,21.2,46.0,1012.6,False,35.2,195,3.3
127,0 days 02:07:40.943000,21.2,46.0,1012.5,False,35.3,191,2.5
129,0 days 02:09:40.959000,21.0,46.0,1012.5,False,35.6,198,2.5
130,0 days 02:10:40.968000,21.0,47.0,1012.5,False,35.6,186,2.1
132,0 days 02:12:40.978000,21.1,47.0,1012.6,False,36.0,182,2.0
134,0 days 02:14:40.978000,21.4,46.0,1012.5,False,35.5,186,2.8
135,0 days 02:15:40.994000,21.4,47.0,1012.5,False,35.7,190,3.0
137,0 days 02:17:41.002000,21.5,47.0,1012.5,False,36.2,180,3.2
138,0 days 02:18:40.996000,21.4,48.0,1012.5,False,36.4,191,1.6
140,0 days 02:20:40.999000,21.3,47.0,1012.5,False,36.5,199,2.0
142,0 days 02:22:41.009000,21.3,46.0,1012.6,False,36.5,156,2.3
143,0 days 02:23:40.990000,21.4,47.0,1012.5,False,36.5,192,2.4
145,0 days 02:25:41.005000,21.2,47.0,1012.6,False,36.5,197,2.3
147,0 days 02:27:41.003000,21.0,48.0,1012.7,False,35.5,163,1.4
148,0 days 02:28:41.005000,21.0,48.0,1012.7,False,35.1,191,1.4
