,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56,0 days 00:56:49.887000,19.8,50.0,785.5,False,37.0,282,1.3
57,0 days 00:57:49.888000,19.9,50.0,785.5,False,37.0,325,0.9
60,0 days 01:00:49.890000,20.0,50.0,785.4,False,36.2,329,2.9
62,0 days 01:02:49.892000,19.9,51.0,785.2,False,36.0,323,2.2
64,0 days 01:04:49.892000,20.0,52.0,785.3,False,36.1,301,0.6
66,0 days 01:06:49.894000,20.0,50.0,785.3,False,35.7,293,1.3
68,0 days 01:08:49.919000,20.1,51.0,785.3,False,36.2,315,2.0
70,0 days 01:10:49.942000,20.3,50.0,785.3,False,37.7,301,2.9
71,0 days 01:11:49.962000,20.4,51.0,785.2,False,36.5,273,2.8
73,0 days 01:13:49.982000,20.1,50.0,785.2,False,36.6,267,1.8
74,0 days 01:14:49.977000,20.1,50.0,785.1,False,36.9,276,1.5
75,0 days 01:15:49.996000,20.2,51.0,785.2,False,37.0,330,1.2
77,0 days 01:17:50.026000,20.1,50.0,785.3,False,36.5,321,3.6
78,0 days 01:18:50.042000,20.1,50.0,785.2,False,35.6,271,1.8
79,0 days 01:19:50.043000,20.1,50.0,785.1,False,34.8,299,2.3
81,0 days 01:21:50.049000,20.0,51.0,785.1,False,34.8,307,1.9
82,0 days 01:22:50.047000,20.0,51.0,785.1,False,34.7,331,3.2
83,0 days 01:23:50.062000,20.1,51.0,785.1,False,35.6,316,2.3
85,0 days 01:25:50.082000,20.4,49.0,784.9,False,37.3,325,2.3
86,0 days 01:26:50.108000,20.5,49.0,785.0,False,37.4,332,2.1
87,0 days 01:27:50.084000,20.5,49.0,785.0,False,37.8,345,2.4
89,0 days 01:29:50.097000,20.5,49.0,784.9,False,37.8,289,2.1
90,0 days 01:30:50.115000,20.6,49.0,785.0,False,38.0,308,2.2
92,0 days 01:32:50.116000,20.9,48.0,784.9,False,38.6,278,2.7
93,0 days 01:33:50.117000,21.0,48.0,784.9,False,38.6,337,2.5
94,0 days 01:34:50.117000,21.0,48.0,785.1,False,38.4,296,2.6
96,0 days 01:36:50.139000,21.0,48.0,785.0,False,39.0,276,2.1
97,0 days 01:37:50.120000,21.1,49.0,784.9,False,39.3,259,1.2
98,0 days 01:38:50.123000,21.0,49.0,784.9,False,39.3,269,1.5
100,0 days 01:40:50.124000,21.0,48.0,784.9,False,39.5,332,1.3
101,0 days 01:41:50.121000,21.1,48.0,784.8,False,39.7,281,0.8
102,0 days 01:42:50.127000,21.0,48.0,784.8,False,39.7,0,1.1
104,0 days 01:44:50.128000,21.1,47.0,784.7,False,40.2,274,2.0
