,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56,0 days 00:56:26.473000,28.5,57.0,1016.4,False,45.9,148,2.9
57,0 days 00:57:26.483000,28.6,58.0,1016.3,False,44.7,150,3.4
59,0 days 00:59:26.522000,28.6,58.0,1016.3,False,42.3,150,2.5
60,0 days 01:00:26.521000,28.7,59.0,1016.3,False,44.2,167,2.4
62,0 days 01:02:26.524000,28.8,57.0,1016.3,False,45.6,152,3.5
64,0 days 01:04:26.557000,28.9,57.0,1016.3,False,45.5,173,3.4
65,0 days 01:05:26.558000,29.0,58.0,1016.3,False,45.5,135,2.7
67,0 days 01:07:26.558000,28.9,58.0,1016.4,False,46.8,174,2.4
68,0 days 01:08:26.557000,28.8,57.0,1016.5,False,46.8,152,3.5
70,0 days 01:10:26.561000,28.8,59.0,1016.2,False,44.7,155,3.6
71,0 days 01:11:26.561000,28.8,59.0,1016.4,False,44.7,177,3.7
73,0 days 01:13:26.562000,28.7,61.0,1016.3,False,45.1,142,3.4
74,0 days 01:14:26.563000,28.7,60.0,1016.2,False,45.5,152,3.7
76,0 days 01:16:26.565000,28.8,59.0,1016.2,False,45.4,160,3.9
78,0 days 01:18:26.566000,28.8,60.0,1016.4,False,46.1,165,3.6
79,0 days 01:19:26.567000,28.7,60.0,1016.3,False,45.5,153,2.9
81,0 days 01:21:26.572000,28.4,60.0,1016.2,False,47.4,142,3.0
82,0 days 01:22:26.574000,28.4,60.0,1016.3,False,47.5,182,1.9
84,0 days 01:24:26.570000,28.6,59.0,1016.4,False,46.1,140,3.6
85,0 days 01:25:26.570000,28.5,60.0,1016.3,False,44.7,164,3.4
87,0 days 01:27:26.575000,28.3,59.0,1016.4,False,44.5,81,2.8
88,0 days 01:28:26.576000,28.4,61.0,1016.4,False,45.7,147,2.3
90,0 days 01:30:26.588000,28.4,59.0,1016.4,False,45.7,171,3.4
92,0 days 01:32:26.579000,28.5,59.0,1016.3,False,45.4,176,2.4
94,0 days 01:34:26.577000,28.5,60.0,1016.3,False,45.6,173,3.4
95,0 days 01:35:26.579000,28.5,60.0,1016.3,False,45.6,133,2.5
97,0 days 01:37:26.579000,28.6,60.0,1016.2,False,44.4,154,3.1
98,0 days 01:38:26.581000,28.7,59.0,1016.2,False,44.2,126,4.4
100,0 days 01:40:26.581000,28.7,60.0,1016.3,False,45.1,136,3.3
102,0 days 01:42:26.571000,28.6,60.0,1016.2,False,44.6,173,3.2
104,0 days 01:44:26.584000,28.2,62.0,1016.3,False,42.1,166,3.0
106,0 days 01:46:26.603000,28.3,61.0,1016.3,False,43.6,168,3.8
