,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
54,0 days 00:54:56.252000,19.1,55.0,1015.5,False,23.0,18,1.8
56,0 days 00:56:56.254000,19.1,55.0,1015.5,False,23.0,8,2.4
59,0 days 00:59:56.256000,19.1,55.0,1015.5,False,23.0,30,1.8
61,0 days 01:01:56.261000,19.0,54.0,1015.5,False,23.0,356,1.3
63,0 days 01:03:56.261000,19.0,54.0,1015.5,False,23.0,8,1.4
65,0 days 01:05:56.251000,19.0,54.0,1015.6,False,22.9,23,1.3
66,0 days 01:06:56.272000,19.0,54.0,1015.5,False,22.9,27,1.0
68,0 days 01:08:56.267000,19.0,54.0,1015.5,False,22.9,0,1.0
69,0 days 01:09:56.265000,19.0,54.0,1015.5,False,22.9,16,0.6
71,0 days 01:11:56.265000,19.0,55.0,1015.5,False,22.7,41,1.0
72,0 days 01:12:56.270000,19.0,55.0,1015.5,False,22.7,4,0.6
74,0 days 01:14:56.269000,19.0,54.0,1015.6,False,22.7,27,1.4
75,0 days 01:15:56.273000,19.0,55.0,1015.6,False,22.6,334,1.4
76,0 days 01:16:56.269000,19.0,55.0,1015.6,False,22.7,0,0.8
78,0 days 01:18:56.267000,19.0,55.0,1015.6,False,22.7,15,1.0
79,0 days 01:19:56.273000,18.9,55.0,1015.6,False,22.7,16,0.9
81,0 days 01:21:56.271000,18.9,55.0,1015.6,False,22.5,4,0.9
82,0 days 01:22:56.278000,18.9,55.0,1015.6,False,22.6,22,1.7
84,0 days 01:24:56.273000,18.9,55.0,1015.6,False,22.5,32,1.3
85,0 days 01:25:56.276000,18.9,55.0,1015.6,False,22.5,0,1.6
86,0 days 01:26:56.283000,18.9,55.0,1015.5,False,22.5,17,1.1
88,0 days 01:28:56.281000,18.8,55.0,1015.7,False,22.7,347,0.7
89,0 days 01:29:56.280000,18.8,55.0,1015.6,False,22.7,0,1.3
91,0 days 01:31:56.284000,18.8,55.0,1015.6,False,22.6,0,0.5
92,0 days 01:32:56.279000,18.8,55.0,1015.6,False,22.6,15,1.0
93,0 days 01:33:56.279000,18.8,55.0,1015.7,False,22.6,77,0.9
95,0 days 01:35:56.284000,18.7,56.0,1015.6,False,22.5,338,1.0
