,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
60,0 days 01:00:08.558000,25.4,62.0,1012.5,False,31.5,358,1.3
62,0 days 01:02:08.539000,25.4,62.0,1012.6,False,31.5,301,1.2
63,0 days 01:03:08.540000,25.4,62.0,1012.6,False,31.7,172,1.0
65,0 days 01:05:08.561000,25.5,61.0,1012.6,False,31.7,342,0.8
66,0 days 01:06:08.554000,25.6,61.0,1012.6,False,31.7,9,1.3
68,0 days 01:08:08.576000,25.7,61.0,1012.6,False,32.2,161,1.0
70,0 days 01:10:08.603000,25.7,61.0,1012.6,False,31.4,357,1.2
72,0 days 01:12:08.624000,25.7,61.0,1012.6,False,31.5,349,0.8
75,0 days 01:15:08.664000,25.7,61.0,1012.7,False,31.5,317,0.8
77,0 days 01:17:08.664000,25.5,62.0,1012.7,False,31.4,356,0.8
79,0 days 01:19:08.681000,25.4,62.0,1012.8,False,31.5,264,1.1
81,0 days 01:21:08.674000,25.5,62.0,1012.9,False,31.4,3,1.2
82,0 days 01:22:08.679000,25.5,62.0,1012.8,False,31.2,180,1.3
84,0 days 01:24:08.716000,25.5,62.0,1012.9,False,31.7,0,0.8
85,0 days 01:25:08.722000,25.6,61.0,1012.9,False,31.6,177,1.1
87,0 days 01:27:08.724000,25.6,61.0,1012.9,False,31.6,312,1.3
88,0 days 01:28:08.732000,25.6,61.0,1012.9,False,31.1,0,0.8
90,0 days 01:30:08.724000,25.6,61.0,1012.9,False,31.1,314,1.0
91,0 days 01:31:08.735000,25.6,62.0,1012.9,False,30.8,355,1.8
93,0 days 01:33:08.723000,25.6,62.0,1012.9,False,30.9,337,1.5
95,0 days 01:35:08.732000,25.6,62.0,1012.9,False,30.9,342,1.5
96,0 days 01:36:08.717000,25.5,62.0,1012.9,False,30.7,49,0.9
98,0 days 01:38:08.737000,25.5,62.0,1013.0,False,30.8,261,1.0
99,0 days 01:39:08.742000,25.6,62.0,1013.0,False,30.8,35,1.0
101,0 days 01:41:08.774000,25.6,62.0,1013.0,False,31.4,0,1.2
102,0 days 01:42:08.770000,25.6,62.0,1013.1,False,31.2,50,0.8
104,0 days 01:44:08.802000,25.6,62.0,1013.1,False,31.2,10,1.7
105,0 days 01:45:08.817000,25.6,63.0,1013.1,False,30.7,36,0.7
107,0 days 01:47:08.813000,25.6,63.0,1013.1,False,31.0,344,1.3
108,0 days 01:48:08.815000,25.5,63.0,1013.1,False,31.0,353,0.6
110,0 days 01:50:08.818000,25.6,63.0,1013.0,False,30.9,339,0.9
112,0 days 01:52:08.814000,25.5,63.0,1013.0,False,31.1,335,1.1
