,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
57,0 days 00:57:50.688000,30.8,75.0,1007.7,False,37.3,0,0.4
58,0 days 00:58:50.691000,30.8,75.0,1007.7,False,37.3,239,0.3
60,0 days 01:00:50.691000,30.8,75.0,1007.7,False,37.4,200,0.8
62,0 days 01:02:50.685000,31.0,74.0,1007.8,False,37.2,203,1.1
63,0 days 01:03:50.707000,31.1,75.0,1007.7,False,37.0,218,0.7
65,0 days 01:05:50.741000,31.1,75.0,1007.8,False,36.8,155,1.3
67,0 days 01:07:50.766000,31.1,75.0,1007.9,False,36.5,228,1.0
68,0 days 01:08:50.785000,31.1,76.0,1007.8,False,36.5,0,0.4
70,0 days 01:10:50.778000,31.1,75.0,1007.8,False,37.0,251,0.8
71,0 days 01:11:50.805000,31.1,75.0,1007.9,False,37.1,219,1.1
73,0 days 01:13:50.824000,31.1,75.0,1008.0,False,36.9,221,1.1
75,0 days 01:15:50.820000,31.1,75.0,1008.0,False,36.8,196,1.6
76,0 days 01:16:50.821000,31.1,74.0,1008.0,False,36.8,220,1.1
78,0 days 01:18:51,31.1,75.0,1008.1,False,36.3,195,1.8
79,0 days 01:19:50.957000,31.2,74.0,1008.0,False,36.3,275,1.1
81,0 days 01:21:50.989000,31.1,74.0,1008.0,False,36.5,228,1.1
83,0 days 01:23:51.037000,31.1,74.0,1008.0,False,35.9,191,1.4
84,0 days 01:24:51.048000,31.0,75.0,1007.9,False,35.7,161,1.1
86,0 days 01:26:51.046000,31.0,75.0,1008.1,False,35.8,179,1.3
88,0 days 01:28:51.070000,30.9,75.0,1008.2,False,36.1,215,1.0
89,0 days 01:29:51.073000,30.8,75.0,1008.2,False,35.8,209,1.5
91,0 days 01:31:51.092000,30.8,75.0,1008.3,False,36.6,217,1.3
92,0 days 01:32:51.096000,30.8,74.0,1008.4,False,36.4,198,1.2
