,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
57,0 days 00:57:20.846000,24.3,66.0,1001.3,False,40.9,238,3.8
58,0 days 00:58:20.874000,24.2,67.0,1001.3,False,40.2,242,2.9
60,0 days 01:00:20.889000,24.1,67.0,1001.4,True,38.7,150,3.2
61,0 days 01:01:20.906000,24.1,67.0,1001.3,False,38.3,246,2.3
62,0 days 01:02:20.912000,24.1,68.0,1001.4,False,39.5,215,1.7
64,0 days 01:04:20.936000,23.9,67.0,1001.3,False,41.4,218,2.2
65,0 days 01:05:20.932000,24.0,67.0,1001.3,False,41.4,244,2.3
67,0 days 01:07:20.957000,24.3,66.0,1001.4,False,42.4,214,1.4
68,0 days 01:08:20.961000,24.3,65.0,1001.3,False,42.5,230,2.0
69,0 days 01:09:20.952000,24.2,65.0,1001.3,False,42.5,247,1.7
71,0 days 01:11:20.962000,24.1,64.0,1001.2,False,42.3,254,1.8
72,0 days 01:12:20.978000,24.2,64.0,1001.3,False,41.8,233,1.9
73,0 days 01:13:20.972000,24.3,65.0,1001.3,False,41.6,256,1.9
75,0 days 01:15:20.982000,24.4,64.0,1001.3,False,42.3,211,1.3
76,0 days 01:16:20.993000,24.3,64.0,1001.2,False,42.4,232,1.3
77,0 days 01:17:20.984000,24.3,63.0,1001.2,False,42.3,264,1.7
79,0 days 01:19:21.011000,24.6,62.0,1001.3,False,41.0,284,1.9
80,0 days 01:20:21.005000,24.7,62.0,1001.3,False,40.6,233,1.4
82,0 days 01:22:21.047000,24.3,62.0,1001.2,False,39.2,196,1.9
83,0 days 01:23:21.047000,24.1,65.0,1001.2,False,39.2,99,1.2
84,0 days 01:24:21.062000,24.0,64.0,1001.3,False,39.3,217,1.6
86,0 days 01:26:21.083000,23.9,63.0,1001.3,False,40.5,236,1.2
87,0 days 01:27:21.113000,23.7,64.0,1001.2,False,41.3,40,1.5
88,0 days 01:28:21.124000,23.8,62.0,1001.3,False,42.7,107,0.7
90,0 days 01:30:21.129000,24.0,62.0,1001.2,False,41.5,106,1.1
91,0 days 01:31:21.130000,24.0,62.0,1001.3,False,41.5,0,1.5
92,0 days 01:32:21.133000,24.0,62.0,1001.3,False,42.0,114,1.4
94,0 days 01:34:21.147000,24.2,62.0,1001.3,False,42.0,197,0.7
95,0 days 01:35:21.144000,24.2,62.0,1001.3,False,42.6,123,0.7
96,0 days 01:36:21.170000,24.2,61.0,1001.3,False,43.0,255,2.5
98,0 days 01:38:21.182000,24.3,61.0,1001.1,False,42.7,226,1.5
99,0 days 01:39:21.184000,24.1,61.0,1001.2,False,41.8,70,1.4
100,0 days 01:40:21.195000,24.3,61.0,1001.3,False,41.4,123,1.4
102,0 days 01:42:21.200000,24.4,62.0,1001.4,False,40.6,198,0.7
103,0 days 01:43:21.201000,24.3,62.0,1001.4,False,40.1,0,0.5
104,0 days 01:44:21.204000,24.3,62.0,1001.4,False,40.1,0,0.5
106,0 days 01:46:21.223000,24.0,63.0,1001.5,False,40.9,264,1.4
107,0 days 01:47:21.223000,24.1,62.0,1001.3,False,41.5,177,1.6
108,0 days 01:48:21.235000,24.1,62.0,1001.4,False,41.5,43,1.1
110,0 days 01:50:21.243000,24.1,62.0,1001.3,False,39.8,90,1.2
111,0 days 01:51:21.250000,24.0,62.0,1001.3,False,39.5,173,1.4
112,0 days 01:52:21.400000,24.0,64.0,1001.2,False,39.7,265,1.5
114,0 days 01:54:21.397000,23.9,63.0,1001.2,False,39.5,238,0.7
115,0 days 01:55:21.396000,23.9,63.0,1001.3,False,39.5,250,1.0
116,0 days 01:56:21.400000,23.9,64.0,1001.2,False,40.0,165,1.6
118,0 days 01:58:21.399000,23.9,64.0,1001.2,False,41.1,291,1.3
119,0 days 01:59:21.401000,24.1,62.0,1001.2,False,42.5,238,0.8
121,0 days 02:01:21.403000,24.1,61.0,1001.2,False,42.7,279,1.2
122,0 days 02:02:21.398000,24.3,61.0,1001.2,False,41.9,241,2.4
123,0 days 02:03:21.398000,24.2,61.0,1001.2,False,41.9,225,2.5
125,0 days 02:05:21.404000,24.1,62.0,1001.3,False,42.2,195,1.9
126,0 days 02:06:21.402000,24.1,63.0,1001.3,False,42.6,228,2.0
127,0 days 02:07:21.407000,24.2,62.0,1001.2,False,42.5,280,1.7
128,0 days 02:08:21.393000,24.2,61.0,1001.3,False,42.5,203,0.9
130,0 days 02:10:21.398000,24.5,62.0,1001.3,False,42.4,223,1.3
131,0 days 02:11:21.409000,24.5,61.0,1001.2,False,43.6,250,1.2
132,0 days 02:12:21.406000,24.4,61.0,1001.2,False,41.3,96,1.4
134,0 days 02:14:21.402000,24.3,63.0,1001.2,False,41.1,239,1.4
135,0 days 02:15:21.413000,24.3,62.0,1001.2,False,40.7,245,1.5
136,0 days 02:16:21.408000,24.1,62.0,1001.2,False,40.3,280,1.8
138,0 days 02:18:21.408000,24.0,62.0,1001.1,False,39.9,97,1.0
139,0 days 02:19:21.411000,24.0,62.0,1001.1,False,39.5,120,1.3
