,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
72,0 days 01:12:23.081000,22.5,78.0,926.6,True,25.1,259,0.9
74,0 days 01:14:23.085000,22.4,78.0,926.6,True,24.6,265,0.7
75,0 days 01:15:23.087000,22.4,78.0,926.7,True,24.6,72,1.2
77,0 days 01:17:23.093000,22.2,77.0,926.6,True,24.4,188,1.1
78,0 days 01:18:23.094000,22.2,78.0,926.6,True,24.6,201,0.7
79,0 days 01:19:23.097000,22.2,79.0,926.5,True,24.8,227,0.7
81,0 days 01:21:23.097000,22.1,77.0,926.6,True,24.9,330,0.7
82,0 days 01:22:23.084000,22.1,78.0,926.5,True,24.9,268,0.7
84,0 days 01:24:23.086000,22.1,77.0,926.6,True,25.0,170,0.9
85,0 days 01:25:23.104000,22.1,77.0,926.5,True,25.0,227,1.1
86,0 days 01:26:23.099000,22.1,76.0,926.5,True,24.9,189,1.1
88,0 days 01:28:23.109000,22.2,75.0,926.6,True,24.8,0,0.7
89,0 days 01:29:23.125000,22.2,76.0,926.5,True,25.0,188,0.6
91,0 days 01:31:23.126000,22.3,76.0,926.5,True,25.3,331,0.5
92,0 days 01:32:23.153000,22.3,75.0,926.5,True,25.4,330,0.6
94,0 days 01:34:23.168000,22.2,76.0,926.4,True,25.3,264,0.7
95,0 days 01:35:23.180000,22.1,75.0,926.5,True,25.3,0,0.8
96,0 days 01:36:23.212000,22.1,76.0,926.5,True,25.1,171,0.5
98,0 days 01:38:23.204000,22.0,77.0,926.5,True,25.1,207,0.6
99,0 days 01:39:23.226000,22.0,77.0,926.6,True,24.9,0,0.4
101,0 days 01:41:23.228000,22.0,81.0,926.4,True,24.9,343,1.1
102,0 days 01:42:23.231000,22.0,81.0,926.4,True,24.9,141,1.0
103,0 days 01:43:23.211000,22.0,82.0,926.3,True,24.9,144,0.4
105,0 days 01:45:23.229000,22.0,83.0,926.3,True,25.0,291,0.4
106,0 days 01:46:23.244000,21.9,85.0,926.5,True,24.9,189,0.7
108,0 days 01:48:23.231000,21.9,85.0,926.5,True,24.7,353,0.4
109,0 days 01:49:23.271000,21.8,86.0,926.4,True,24.6,353,0.7
110,0 days 01:50:23.255000,21.7,86.0,926.5,True,24.4,21,1.4
112,0 days 01:52:23.272000,21.5,87.0,926.6,True,24.1,341,1.0
114,0 days 01:54:23.273000,21.3,88.0,926.6,True,24.0,354,0.7
116,0 days 01:56:23.291000,21.0,88.0,926.6,True,23.5,0,0.9
118,0 days 01:58:23.288000,20.8,89.0,926.5,True,23.2,1,0.6
144,0 days 02:24:23.418000,20.6,90.0,926.2,True,25.2,220,0.3
147,0 days 02:27:23.479000,20.6,90.0,926.2,True,25.1,279,0.7
148,0 days 02:28:23.484000,20.6,90.0,926.2,True,25.1,301,0.8
150,0 days 02:30:23.486000,20.6,90.0,926.2,True,24.7,308,0.4
151,0 days 02:31:23.496000,20.6,91.0,926.2,True,24.6,205,0.7
153,0 days 02:33:23.498000,20.5,91.0,926.1,True,24.3,278,0.3
